Rate.Partially.Covered.per.100.000,Rate.Fully.Covered.per.100.000,county,Rate.O65Partial.Per.100K,Rate.O65Full.Per.100K,Rate.U65Partial.Per.100K,Rate.U65Full.Per.100K,Rate.HispanicPartial.Per.100K,Rate.HispanicFull.Per.100K,Rate.BlackPartial.Per.100K,Rate.BlackFull.Per.100K,Rate.NAPartial.Per.100K,Rate.NAFull.Per.100K,Compare.Partial.O65,Compare.Full.O65,Compare.Partial.U65,Compare.Full.U65,Compare.Partial.Hispanic,Compare.Full.Hispanic,Compare.Partial.Black,Compare.Full.Black,Compare.Partial.NA,Compare.Full.NA
8986.6,15525.8,ADAMS,21574.62258742595,41572.711637683926,7923.589570344891,9442.277571327662,5330.6342780027,2914.97975708502,3932.9685362517102,3419.972640218878,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
18420.5,22855.8,ALLEGHENY,33934.86603344389,45744.41299553734,17754.509966100846,19068.869798422216,17608.36058794782,7120.033081463103,9249.233435907563,7334.3316493606935,554.4094894275399,373.9040742650851,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15677.8,20086.5,ARMSTRONG,31879.636691395684,44255.70269708105,13834.245427205049,14090.617758714194,16571.42857142857,6285.714285714286,6010.362694300518,7150.259067357513,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
8070.6,13715.1,BEAVER,10879.406937920889,26557.636806066435,9505.721890846917,11418.523771590666,9598.540145985402,5437.956204379562,4218.475856281944,4050.652223663132,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
9463.7,11610.4,BEDFORD,22382.342210871946,27298.431229478294,7433.185795857688,7517.653816265161,11092.436974789915,4537.81512605042,2090.5923344947737,1567.9442508710802,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
13033.6,14973.3,BERKS,30725.654913230905,37220.901956449656,11766.160615087056,11852.901768412194,4636.301392194581,2938.715181550433,3869.835131284348,3368.613881538775,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8094.1,18139.4,BLAIR,17865.683929901596,41176.93182263693,7690.395184506674,13504.318241298088,5672.009864364982,8877.928483353884,3297.3122748683845,2660.016625103907,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7032.1,15173.3,BRADFORD,13988.759719762875,37277.6965124336,6774.25510454434,10737.944006760625,13209.606986899564,13864.628820960697,2580.6451612903224,3483.870967741935,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
14339.4,18396.9,BUCKS,28374.855775394215,42580.23161403359,13439.074527427134,13721.416271322812,5199.83804731332,4734.22407311007,5091.882462630455,4327.949712773317,700.8817544652951,655.6635767578566,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9101.8,26927.4,BUTLER,11793.054571226081,67929.12827781716,11217.101482588208,20247.262219449323,8085.977482088025,8461.276015011941,4306.90245293782,7244.723331431831,0,589.6226415094341,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10671.2,23168.9,CAMBRIA,22705.54171436267,48767.759746818396,11056.708023975729,15891.319898374484,6898.126998629511,4522.613065326634,2560.8798114689707,3252.1602513747057,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10771.3,26962,CAMERON,14053.614947197402,61332.25020308692,12004.573170731706,15205.79268292683,15254.237288135595,0,0,0,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
15289.3,19112.8,CARBON,28628.11374825483,43199.35336909399,14276.89572582039,14560.853354403813,8976.71568627451,7935.049019607843,7692.307692307692,4855.428259683578,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12113.2,22199.1,CENTRE,16818.083961248652,67918.19160387514,12828.371645103212,14922.748398442407,10385.395537525355,6409.73630831643,5185.694635488308,10742.778541953232,569.4760820045558,569.4760820045558,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
19458.5,18876.2,CHESTER,41169.7905569149,46812.695365091255,19358.585665512954,15025.539535553913,8996.204885255089,5460.889941672398,9110.477178423236,6690.871369294606,795.9671000265322,212.25789334040857,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6896.8,22639.1,CLARION,10590.71174845415,60057.887120115774,7410.956716179525,15828.142469254113,3931.203931203931,7862.407862407862,1963.5343618513323,3366.0589060308553,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7872.1,21857.3,CLEARFIELD,13616.497383810403,52970.144659895355,8467.099382020288,14994.753002448599,4554.865424430642,2360.248447204969,1179.5060818282345,11868.779948396608,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7390.2,15717.5,CLINTON,13088.356729975225,48513.62510322048,6990.711082639334,9745.355541319666,5123.966942148761,5619.834710743802,1972.8729963008632,1726.263871763255,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11067.7,23754.7,COLUMBIA,23996.865203761754,54913.793103448275,9910.622847034727,17840.51764267759,8405.639913232104,8026.030368763558,3094.660194174757,5218.446601941748,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7706.6,22752.2,CRAWFORD,9439.241662859753,56892.41662859753,8602.45354975671,16633.789851396796,16566.523605150214,7381.974248927038,9244.060475161987,6133.909287257019,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
15212.1,17833.2,CUMBERLAND,34659.71519055519,42348.7084473361,14026.998910440685,14169.195634375903,7460.9821088694325,5053.2927293490675,4016.2613023060208,6721.805565290531,533.8078291814946,1067.6156583629893,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
11376.6,14595.1,DAUPHIN,26717.557251908398,37274.51064011258,11037.878320037278,11357.320503247756,5055.422408627921,2816.057519472738,5894.130690185825,4437.972630847385,0,405.2684903748734,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15133.2,17797.5,DELAWARE,31301.331373735626,44543.74513702775,15248.000692120104,13984.611142052245,6454.22266169266,3690.0534855499122,5830.587150094102,4753.438618155309,300.7866728366497,439.6112910689496,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9552,29939.8,ELK,9809.8400241473,71159.07032900695,10969.9460844499,22105.375540490044,13229.571984435797,7782.101167315175,4014.598540145985,0,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
10367.5,21405.3,ERIE,12848.018342613823,51607.02587618735,12505.786011852038,17134.024035521827,11897.872340425532,4961.702127659574,4338.93070835746,6774.75390851187,922.6037929267043,461.30189646335214,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
14511.8,20106.9,FAYETTE,26241.52065875866,48775.71008814887,13537.844733325233,13543.919329364599,19718.309859154928,9389.671361502347,4654.407102092581,4920.7355738744445,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5547.1,38374.5,FOREST,8754.62392108508,57459.92601726264,4744.455159112826,11938.28351012536,1010.1010101010102,1616.1616161616162,0,322.5806451612903,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8299.8,15605,FRANKLIN,18718.725309454832,45272.5836186463,7863.92570176354,9642.07450693937,3911.4147201410315,4043.6315557514326,3932.3822083683012,4304.040282939695,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8891.9,8678.6,FULTON,23704.414587332052,22232.885476647472,6080.407575589767,5825.672831985824,2824.858757062147,0,6204.379562043796,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12590.7,16222.8,GREENE,31118.220154136976,40671.804565944454,10645.607273031967,10105.157317022078,5034.722222222223,6076.388888888889,2010.3761348897538,10181.582360570686,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
6578.9,22707.3,HUNTINGDON,12666.029114865582,50802.25268303049,5991.363188139685,16443.945730898704,5396.825396825397,10264.550264550266,1366.2112629123626,17394.201932689106,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10035.3,16906.7,INDIANA,18396.485447556286,48520.34901458296,9083.2193506587,9988.481750773883,13528.336380255943,4113.345521023766,2142.0921099607285,2784.719742948947,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
7930.9,25423.1,JEFFERSON,14434.344540576061,64352.20676815244,7965.722801788376,18725.782414307003,9456.26477541371,7092.198581560284,0,0,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
8116.9,16193.5,JUNIATA,19613.759806879905,46871.856769261714,7495.8976042008535,9924.515917295701,3948.667324777887,2073.050345508391,4310.344827586207,2011.4942528735633,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14711.9,27589.5,LACKAWANNA,24874.449601332857,55480.185647982864,15475.58034368405,23337.353029846246,5214.470893235918,3711.9962290831954,3878.1687476352627,4199.772985244041,6054.131054131054,4629.62962962963,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14877.3,17037.4,LANCASTER,30666.653000143502,45847.76859842971,14788.08331198412,12233.539758120798,9714.129953320386,4618.5559985008,6571.39642173962,4906.042534038483,152.80506439642,174.63435931019427,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7735.8,18557.6,LAWRENCE,13430.069374569719,42652.12095535667,7976.174818210857,13537.889179083446,9462.528387585164,3103.7093111279337,2576.489533011272,3904.9919484702095,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
11529.5,16023.4,LEBANON,24809.341361065497,42003.28407224959,10344.788047653446,11607.214520770987,5518.3774323072175,3809.327705137445,2932.7286470143613,2872.2600151171578,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
17975,21238.9,LEHIGH,34493.727380430726,57623.707742993,17893.119774352774,16633.92767200564,7714.094059774912,4540.082411439645,5447.213903365011,3834.2726436673192,260.55237102657634,138.9612645475074,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12247.6,22908,LUZERNE,20779.8375734165,50306.33083730429,12457.511645867255,18521.233109188306,5217.497855654944,2712.9028305354736,2836.9089772963966,3474.276192459904,235.22493384298733,441.04675095560134,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8835.9,19293.2,LYCOMING,21267.5031823968,48467.903255137295,7896.914039877554,13911.640605609333,2708.5124677558038,4987.102321582115,3300.2377289889528,6852.188505104182,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10377.8,12728.6,MCKEAN,22586.703393013646,29285.08826843621,9567.795643745012,9925.114988406129,5154.639175257732,2978.2359679266892,559.5523581135092,399.68025579536373,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7001.2,24406.9,MERCER,9825.455152831133,58526.80808418239,7670.007932501622,16816.903439821155,8304.297328687573,4413.472706155633,2814.9280346452683,8470.258565787797,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
8949.2,19348.5,MIFFLIN,20486.145843753126,49754.92647794339,7838.814600650525,13328.514636790747,4084.321475625823,5138.339920948617,2225.3129346314327,4589.70792767733,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13379.3,12678.6,MONROE,27163.067249863314,36973.75615090213,12977.737120339178,8251.603085665029,7925.632516147451,3907.504549834065,6907.114624505929,3636.363636363636,199.68051118210863,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
22432,15217.6,MONTGOMERY,50340.57161539929,34636.81442933821,20575.567883649448,12607.2044381138,8617.34868346062,3627.037501424826,9497.861624297158,5928.836593361266,1809.6272167933407,941.0061527325372,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10400.4,38376.3,MONTOUR,16507.11513583441,72082.79430789132,10861.29060812605,36168.89439674249,8082.706766917293,17857.14285714286,5907.172995780591,16666.666666666664,0,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
19553.5,20378,NORTHAMPTON,35215.43008243895,54546.240127201396,19644.6119401473,14030.635504361306,10647.741567966581,5425.933398210344,7173.862491279747,4565.537555228277,206.5404475043029,0,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9493.3,22731.5,NORTHUMBERLAND,21684.145589142503,48606.827061484684,8285.24825929109,17712.26125541505,5382.0993160868275,5292.8932500743385,1852.9769137302553,4890.6439854191985,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15947,11283.3,PERRY,49256.52733871912,30371.150919096122,10557.025578397448,8216.29689938259,5309.734513274336,1868.2399213372667,1524.7776365946634,1397.712833545108,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
1801.2,3141.4,PHILADELPHIA,3604.0398450470393,5622.117690463014,1862.7115045829873,3282.9533730860767,474.1879897531791,903.5146931194527,969.3010959656377,1443.3962654656991,32.41374342721314,25.210689332276882,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12765,11874.4,PIKE,27280.60501024106,25452.9699070427,10127.047904699923,8251.039868707734,4348.513598987983,2292.8526249209363,5702.696253877356,2839.4178000477214,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
4798.5,10444.1,POTTER,10167.79363886802,24918.607563235662,3874.2393509127787,6987.829614604463,16666.666666666664,3508.771929824561,0,0,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
15224.4,20492.5,SCHUYLKILL,34342.41972913997,46603.858543174814,12803.102704865201,15739.114973440313,6033.717834960071,4628.808044957113,1920.4851752021566,11741.913746630727,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10128.3,16112.7,SNYDER,24500.978473581214,41735.159817351596,8202.793425418628,11447.642565012731,4571.428571428572,6285.714285714286,2820.512820512821,3333.3333333333335,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10203.3,16628.3,SOMERSET,22921.08934311882,36634.92448595864,8210.01158152104,11602.968300947969,3536.693191865606,7603.890362511052,881.4102564102564,12459.935897435898,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
23969.7,20062.6,SULLIVAN,52723.059096176126,39513.325608342995,15589.155370177268,11470.281543274245,11570.247933884299,0,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9410.3,14486.2,SUSQUEHANNA,18496.020108923334,32226.644323418517,8144.960180194674,9999.195559488377,9728.183118741059,4721.030042918455,4235.294117647059,1647.058823529412,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
5373.1,12847.7,TIOGA,12562.590408367641,34216.089907644375,4571.953362082734,7826.22584251717,7462.686567164178,5410.447761194029,1624.5487364620938,1263.537906137184,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
12572.6,16822.1,UNION,31109.196109811644,41376.33879108704,10424.13872528051,12822.87519331381,3695.491500369549,3067.257945306726,1826.608505997819,1553.9803707742637,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
5984.1,16312.1,VENANGO,8155.812538040171,36344.66568124511,6199.443882709807,12253.538928210313,18246.869409660107,6082.289803220036,2615.062761506276,2510.460251046025,0,0,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
13765.9,13584.8,WARREN,30910.498948998782,27757.49529815245,9505.73479660038,10916.742305470749,14161.220043572983,4139.433551198257,3324.0997229916898,1662.0498614958449,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
18840.3,20759.4,WASHINGTON,37943.095919996245,46708.76566974975,17696.02802848547,15353.973875623595,16114.003836667582,9454.645108248835,8438.594629020274,6198.91731238722,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12367.4,19320.1,WAYNE,23050.24598757964,34010.80732317122,11298.136645962733,15487.577639751555,3568.4647302904564,4979.253112033195,2826.189354686764,10880.82901554404,0,0,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15358.9,20750.4,WESTMORELAND,30233.463523679155,41959.385635525636,13488.995530506467,15660.153801814331,26786.537574919315,9405.255878284925,5288.916956109883,5809.91474581623,382.89725590299935,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
12767.8,19325.2,WYOMING,25963.382737576285,41220.5754141238,10991.202346041055,14492.66862170088,15221.579961464355,3853.5645472061656,3431.372549019608,3186.2745098039213,0,0,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
10563,17211.4,YORK,23159.591617409995,48363.654973004785,9794.79651435175,12415.279382827872,6144.581751762322,4178.2014326892895,5372.0862701618225,4815.078799398116,0,235.97273203985318,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
